
###########################################################################################################################################################

 learning rate: 0.0001, mlp_hidden_sizes: [1024, 512], jump_frames: 6, use_reconstruction_layer: True
batch_size: 8, norm: True, train_seqeunces: [0, 2, 3, 5], val_sequences: [6, 7, 8], RL_TEST_NAMES: ['fe2fadf89a84e92a', 'f01e8b6f8e10fdd9', 'f1ee9dc6135e5307', 'a41df4fa06fd391b', 'bc0ebb7482f14795', '9bdd34e784c04e3a', '98ebee1c36ecec55'], dataset: Stereo,
average embeddings: False, model: openai/clip-vit-base-patch32, augmentation: True, random crop: True, part: tail, get_old_path: False, computer: 2,
RE1 coeff: 0 SED coeff: 0.5, ALG_COEFF: 0, L2_coeff: 1, huber_coeff: 1, frozen layers: 0, trained vit: None, MAX_POOL_SIZE: 3
crop: 224 resize: 256, use conv: True pretrained: None, train_size: 0.025, norm_mean: tensor([0.4815, 0.4578, 0.4082], device='cuda:0'), norm_std: tensor([0.2686, 0.2613, 0.2758], device='cuda:0'), sched: None seed: 42

train size: 269, val size: 91, test size: 1064

algebraic_truth: 0.016648327603059655		 val_algebraic_truth: 0.01791820426781972
RE1_truth: 0.00018665527322274798		 val_RE1_truth: 0.000226935352354
SED_truth: 0.0014932380222222384		 val_SED_truth: 0.0018154654341439407

Epoch 1/24000: Training Loss: 1209.890625		 Val Loss: 14.403292338053385
             	Training MAE: 0.3613538146018982		 Val MAE: 0.3432929813861847
             	Algebraic dist: 1607.8274356617646		 Val Algebraic dist: 175.8512166341146
             	RE1 dist: 9298184.470588235		 Val RE1 dist: 25649.385416666668
             	SED dist: 2418.8511029411766		 Val SED dist: 27.816640218098957

Epoch 2/24000: Training Loss: 4.8838653564453125		 Val Loss: 6.373955408732097
             	Training MAE: 0.34358757734298706		 Val MAE: 0.3557716906070709
             	Algebraic dist: 104.39833697150735		 Val Algebraic dist: 113.6997578938802
             	RE1 dist: 12400.97794117647		 Val RE1 dist: 13397.819010416666
             	SED dist: 8.778618307674632		 Val SED dist: 11.766729990641275

Epoch 3/24000: Training Loss: 2.8312054802389706		 Val Loss: 6.788326263427734
             	Training MAE: 0.36446964740753174		 Val MAE: 0.37394586205482483
