
###########################################################################################################################################################

                         learning rate: 6e-05,  mlp_hidden_sizes: [1024, 512], batch_size: 32, norm: True, alpha: 10, avg embeddings: False, 
                        crop: 224 resize: 256, use conv: True pretrained: None, seed: 42, angle range: 30, shift range: 32, 
                        train length: 64, val length: 320, test length: 320, get old path: False, embeddings to use: ['rotated_embeddings', 'original_embeddings'],
                        use_cls: False, frozen layer: 0


Epoch 1/1600: Training Loss: 3.6741063594818115		 Val Loss: 3.995095062255859
		Training MAE Angle: 0.49657315015792847		 Val MAE Angle: 0.47799205780029297
              Training MSE Angle: 0.32808005809783936		 Val MSE Angle: 0.31322832107543946
		Training MAE Shift: 0.5064008235931396		 Val MAE Shift: 0.5235884666442872
              Training Euclidean Shift: 0.7717815637588501	 Val Euclidean Shift: 0.801995849609375


Epoch 2/1600: Training Loss: 3.188220739364624		 Val Loss: 3.6968883514404296
		Training MAE Angle: 0.4744587242603302		 Val MAE Angle: 0.4935779094696045
              Training MSE Angle: 0.28877973556518555		 Val MSE Angle: 0.32856249809265137
		Training MAE Shift: 0.45179104804992676		 Val MAE Shift: 0.4984883308410645
              Training Euclidean Shift: 0.6973913908004761	 Val Euclidean Shift: 0.7685928821563721


Epoch 3/1600: Training Loss: 3.308257579803467		 Val Loss: 3.8986083984375
		Training MAE Angle: 0.5189568996429443		 Val MAE Angle: 0.525742483139038
              Training MSE Angle: 0.35737374424934387		 Val MSE Angle: 0.35374913215637205
		Training MAE Shift: 0.45583298802375793		 Val MAE Shift: 0.5202807426452637
              Training Euclidean Shift: 0.7028951644897461	 Val Euclidean Shift: 0.7914042472839355


Epoch 4/1600: Training Loss: 3.5822019577026367		 Val Loss: 3.4682823181152345
		Training MAE Angle: 0.45028141140937805		 Val MAE Angle: 0.5020993232727051
              Training MSE Angle: 0.2907761037349701		 Val MSE Angle: 0.3408524751663208
		Training MAE Shift: 0.4991741478443146		 Val MAE Shift: 0.4782898426055908
              Training Euclidean Shift: 0.7649228572845459	 Val Euclidean Shift: 0.7396899700164795


