###########################################################################################################################################################

 learning rate: 0.0001, mlp_hidden_sizes: [1024, 512], jump_frames: 6, use_reconstruction_layer: True
batch_size: 8, norm: True, train_seqeunces: [0, 2, 3, 5], val_sequences: [6, 7, 8], RL_TEST_NAMES: ['fe2fadf89a84e92a', 'f01e8b6f8e10fdd9', 'f1ee9dc6135e5307', 'a41df4fa06fd391b', 'bc0ebb7482f14795', '9bdd34e784c04e3a', '98ebee1c36ecec55'], dataset: Stereo,
average embeddings: False, model: openai/clip-vit-base-patch32, augmentation: True, random crop: True, part: tail, get_old_path: False,
RE1 coeff: 0 SED coeff: 0.5, ALG_COEFF: 0, L2_coeff: 1, huber_coeff: 1, frozen layers: 4, trained vit: None,
crop: 224 resize: 256, use conv: True pretrained: None, train_size: 0.05, norm_mean: tensor([0.4815, 0.4578, 0.4082], device='cuda:0'), norm_std: tensor([0.2686, 0.2613, 0.2758], device='cuda:0'), sched: None seed: 42, 

algebraic_truth: 0.01675443263614879		 val_algebraic_truth: 0.01725008047145346
RE1_truth: 0.000188736998311737		 val_RE1_truth: 0.00020495026736803678
SED_truth: 0.0015098918229341507		 val_SED_truth: 0.0016396162302597709

Epoch 1/5500: Training Loss: 750.8948759191177		 Val Loss: 9.896347709324049
             	Training MAE: 0.3426070511341095		 Val MAE: 0.3453693985939026
             	Algebraic dist: 891.6344209558823		 Val Algebraic dist: 111.18653405230978
             	RE1 dist: 6077064.94117647		 Val RE1 dist: 18113.510869565216
             	SED dist: 1500.7833180147059		 Val SED dist: 18.76655910326087

Epoch 2/5500: Training Loss: 2.986371433033663		 Val Loss: 6.381257430366848
             	Training MAE: 0.3610439598560333		 Val MAE: 0.3720923066139221
             	Algebraic dist: 56.075439453125		 Val Algebraic dist: 88.77925972316577
             	RE1 dist: 4160.011029411765		 Val RE1 dist: 10407.403532608696
             	SED dist: 4.979289335363052		 Val SED dist: 11.813497792119565

Epoch 3/5500: Training Loss: 2.3664972641888786		 Val Loss: 5.869044428286345
             	Training MAE: 0.36943063139915466		 Val MAE: 0.36126771569252014
             	Algebraic dist: 47.31006218405331		 Val Algebraic dist: 77.39082668138587
             	RE1 dist: 2910.581112132353		 Val RE1 dist: 7588.254076086957
             	SED dist: 3.8584545359892		 Val SED dist: 10.940656579059103

Epoch 4/5500: Training Loss: 2.1282963472254135		 Val Loss: 5.10888439676036
             	Training MAE: 0.35388943552970886		 Val MAE: 0.34963229298591614
             	Algebraic dist: 39.81027042164522		 Val Algebraic dist: 69.4843113111413
             	RE1 dist: 2053.215762867647		 Val RE1 dist: 5153.546875
             	SED dist: 3.503635855282054		 Val SED dist: 9.494660750679348

Epoch 5/5500: Training Loss: 2.040684195125804		 Val Loss: 6.477118450662364
             	Training MAE: 0.34643545746803284		 Val MAE: 0.34283655881881714
             	Algebraic dist: 39.781975241268384		 Val Algebraic dist: 80.2521388841712
             	RE1 dist: 1912.4839154411766		 Val RE1 dist: 8009.124320652174
             	SED dist: 3.378637201645795		 Val SED dist: 12.273834228515625

Epoch 6/5500: Training Loss: 2.299257390639361		 Val Loss: 4.600327201511549
             	Training MAE: 0.3433150053024292		 Val MAE: 0.34269315004348755
             	Algebraic dist: 45.93987678079044		 Val Algebraic dist: 71.22879691745923
             	RE1 dist: 2517.4947150735293		 Val RE1 dist: 5379.426630434783
             	SED dist: 3.92010498046875		 Val SED dist: 8.530699356742527

Epoch 7/5500: Training Loss: 2.049195233513327		 Val Loss: 5.249313686204993
             	Training MAE: 0.3381623923778534		 Val MAE: 0.3323693871498108
