###########################################################################################################################################################

 learning rate: 0.0001, mlp_hidden_sizes: [1024, 512], jump_frames: 6, use_reconstruction_layer: True
batch_size: 8, norm: True, train_seqeunces: [0, 2, 3, 5], val_sequences: [6, 7, 8], RL_TEST_NAMES: ['fe2fadf89a84e92a', 'f01e8b6f8e10fdd9', 'f1ee9dc6135e5307', 'a41df4fa06fd391b', 'bc0ebb7482f14795', '9bdd34e784c04e3a', '98ebee1c36ecec55'], dataset: Stereo,
average embeddings: False, model: openai/clip-vit-base-patch32, augmentation: True, random crop: True, part: mid, get_old_path: False,
RE1 coeff: 0 SED coeff: 0.5, ALG_COEFF: 0, L2_coeff: 1, huber_coeff: 1, frozen layers: 8, trained vit: plots/Affine/BS_32__lr_6e-05__train_size_9216__CLIP__alpha_10__conv__original_rotated/model.pth,
crop: 224 resize: 256, use conv: True pretrained: None, train_size: 0.015, norm_mean: tensor([0.4815, 0.4578, 0.4082], device='cuda:0'), norm_std: tensor([0.2686, 0.2613, 0.2758], device='cuda:0'), sched: None seed: 42, 

algebraic_truth: 0.01665814071893692		 val_algebraic_truth: 0.01737116277217865
RE1_truth: 0.00018642112845554948		 val_RE1_truth: 0.00020268127056104795
SED_truth: 0.0014913743361830711		 val_SED_truth: 0.001621450430580548

Epoch 1/20000: Training Loss: 3348.982421875		 Val Loss: 58.093906947544646
             	Training MAE: 0.3660113513469696		 Val MAE: 0.3583591878414154
             	Algebraic dist: 3735.340234375		 Val Algebraic dist: 401.4087611607143
             	RE1 dist: 31103484.8		 Val RE1 dist: 198656.7142857143
             	SED dist: 6697.028125		 Val SED dist: 115.18844168526786

Epoch 2/20000: Training Loss: 62.441357421875		 Val Loss: 7.4256760733468195
             	Training MAE: 0.3457048237323761		 Val MAE: 0.34738272428512573
             	Algebraic dist: 420.0060546875		 Val Algebraic dist: 110.86897495814732
             	RE1 dist: 222897.975		 Val RE1 dist: 9080.852120535714
             	SED dist: 123.8642578125		 Val SED dist: 13.832584926060267

Epoch 3/20000: Training Loss: 6.884572601318359		 Val Loss: 5.20343017578125
             	Training MAE: 0.3558572232723236		 Val MAE: 0.3630455434322357
             	Algebraic dist: 124.66021728515625		 Val Algebraic dist: 91.99452427455357
             	RE1 dist: 17976.9328125		 Val RE1 dist: 10120.25669642857
             	SED dist: 12.750276184082031		 Val SED dist: 9.399000985281807

Epoch 4/20000: Training Loss: 3.5558143615722657		 Val Loss: 5.3193849836077005
             	Training MAE: 0.3692881762981415		 Val MAE: 0.3762069046497345
             	Algebraic dist: 88.76394653320312		 Val Algebraic dist: 96.32682582310268
             	RE1 dist: 9168.38828125		 Val RE1 dist: 12642.683035714286
             	SED dist: 6.113068771362305		 Val SED dist: 9.662933349609375

Epoch 5/20000: Training Loss: 2.827018928527832		 Val Loss: 4.5889402117047995
             	Training MAE: 0.3788148760795593		 Val MAE: 0.38298264145851135
             	Algebraic dist: 77.8505859375		 Val Algebraic dist: 91.23971121651786
             	RE1 dist: 7369.41171875		 Val RE1 dist: 9580.402901785714
             	SED dist: 4.69286003112793		 Val SED dist: 8.244195665631976

Epoch 6/20000: Training Loss: 2.5090017318725586		 Val Loss: 5.1655458722795755
             	Training MAE: 0.3810220956802368		 Val MAE: 0.38157156109809875
             	Algebraic dist: 72.1089111328125		 Val Algebraic dist: 92.25190952845982
             	RE1 dist: 6293.776171875		 Val RE1 dist: 11317.354910714286
             	SED dist: 4.110756301879883		 Val SED dist: 9.45805903843471

Epoch 7/20000: Training Loss: 2.2701509475708006		 Val Loss: 4.750928061349051
             	Training MAE: 0.3760855495929718		 Val MAE: 0.375180721282959
             	Algebraic dist: 65.91141967773437		 Val Algebraic dist: 84.29786028180804
             	RE1 dist: 5342.660546875		 Val RE1 dist: 9228.58984375
             	SED dist: 3.689260482788086		 Val SED dist: 8.68060575212751

Epoch 8/20000: Training Loss: 2.0492015838623048		 Val Loss: 5.036901746477399
             	Training MAE: 0.36820051074028015		 Val MAE: 0.3661876320838928
             	Algebraic dist: 60.05987548828125		 Val Algebraic dist: 84.62679617745536
             	RE1 dist: 4364.165234375		 Val RE1 dist: 9011.07924107143
             	SED dist: 3.299691009521484		 Val SED dist: 9.30582754952567

Epoch 9/20000: Training Loss: 1.9712385177612304		 Val Loss: 4.8645188467843195
             	Training MAE: 0.3570573329925537		 Val MAE: 0.3544529974460602
             	Algebraic dist: 56.99072265625		 Val Algebraic dist: 76.45854840959821
             	RE1 dist: 3843.660546875		 Val RE1 dist: 6993.262276785715
             	SED dist: 3.1998676300048827		 Val SED dist: 9.013541630336217

Epoch 10/20000: Training Loss: 1.756918716430664		 Val Loss: 4.89684568132673
             	Training MAE: 0.3449576795101166		 Val MAE: 0.34433743357658386
             	Algebraic dist: 50.09921569824219		 Val Algebraic dist: 74.27562604631696
             	RE1 dist: 3013.1369140625		 Val RE1 dist: 6607.133928571428
             	SED dist: 2.82205810546875		 Val SED dist: 9.119806017194476

Epoch 11/20000: Training Loss: 1.7063825607299805		 Val Loss: 4.9159360613141745
             	Training MAE: 0.3351409435272217		 Val MAE: 0.3350486159324646
             	Algebraic dist: 48.59813537597656		 Val Algebraic dist: 74.26763044084821
             	RE1 dist: 2695.6287109375		 Val RE1 dist: 6260.567522321428
             	SED dist: 2.7589548110961912		 Val SED dist: 9.193529401506696

Epoch 12/20000: Training Loss: 1.720970916748047		 Val Loss: 4.666191101074219
             	Training MAE: 0.32600459456443787		 Val MAE: 0.32680755853652954
             	Algebraic dist: 48.21504211425781		 Val Algebraic dist: 72.37089320591518
             	RE1 dist: 2587.2806640625		 Val RE1 dist: 5702.573660714285
             	SED dist: 2.8222377777099608		 Val SED dist: 8.723532540457589

Epoch 13/20000: Training Loss: 1.5624338150024415		 Val Loss: 4.610415322440011
             	Training MAE: 0.31610816717147827		 Val MAE: 0.3188389241695404
             	Algebraic dist: 44.467813110351564		 Val Algebraic dist: 69.23581368582589
             	RE1 dist: 2210.493359375		 Val RE1 dist: 4867.469866071428
             	SED dist: 2.5386886596679688		 Val SED dist: 8.638782501220703

Epoch 14/20000: Training Loss: 1.6365226745605468		 Val Loss: 4.43816648210798
             	Training MAE: 0.3078734278678894		 Val MAE: 0.3107044994831085
             	Algebraic dist: 45.878970336914065		 Val Algebraic dist: 68.71226283482143
             	RE1 dist: 2323.9791015625		 Val RE1 dist: 4561.331752232143
             	SED dist: 2.7134923934936523		 Val SED dist: 8.320868355887276

Epoch 15/20000: Training Loss: 1.6585809707641601		 Val Loss: 4.64171382359096
             	Training MAE: 0.3001137375831604		 Val MAE: 0.30400142073631287
             	Algebraic dist: 45.491879272460935		 Val Algebraic dist: 72.52920096261161
             	RE1 dist: 2289.621484375		 Val RE1 dist: 4972.08203125
             	SED dist: 2.782124137878418		 Val SED dist: 8.750330243791852

Epoch 16/20000: Training Loss: 1.522305393218994		 Val Loss: 4.7426605224609375
             	Training MAE: 0.2933608591556549		 Val MAE: 0.29528436064720154
             	Algebraic dist: 43.123773193359376		 Val Algebraic dist: 68.24223109654018
             	RE1 dist: 1998.065234375		 Val RE1 dist: 5023.6640625
             	SED dist: 2.530093955993652		 Val SED dist: 8.975894927978516

Epoch 17/20000: Training Loss: 1.5236859321594238		 Val Loss: 5.2701841081891745
             	Training MAE: 0.2868462800979614		 Val MAE: 0.2905048429965973
             	Algebraic dist: 43.42085266113281		 Val Algebraic dist: 77.42752511160714
             	RE1 dist: 2062.03828125		 Val RE1 dist: 5431.291852678572
             	SED dist: 2.5534385681152343		 Val SED dist: 10.049510410853795

Epoch 18/20000: Training Loss: 1.6369096755981445		 Val Loss: 4.4402473994663785
             	Training MAE: 0.27861300110816956		 Val MAE: 0.28199607133865356
             	Algebraic dist: 44.528570556640624		 Val Algebraic dist: 68.86390032087054
             	RE1 dist: 2180.1974609375		 Val RE1 dist: 4537.999441964285
             	SED dist: 2.8022531509399413		 Val SED dist: 8.410615648542132

Epoch 19/20000: Training Loss: 1.5625234603881837		 Val Loss: 5.0064190455845425
             	Training MAE: 0.2726660370826721		 Val MAE: 0.2764894962310791
             	Algebraic dist: 44.272012329101564		 Val Algebraic dist: 75.16542271205357
             	RE1 dist: 2042.7521484375		 Val RE1 dist: 5220.354352678572
             	SED dist: 2.6706972122192383		 Val SED dist: 9.559798104422432

Epoch 20/20000: Training Loss: 1.4309452056884766		 Val Loss: 5.181115831647601
             	Training MAE: 0.26647812128067017		 Val MAE: 0.2678503096103668
             	Algebraic dist: 41.63168029785156		 Val Algebraic dist: 74.64931815011161
             	RE1 dist: 1830.2869140625		 Val RE1 dist: 5472.354910714285
             	SED dist: 2.4242748260498046		 Val SED dist: 9.930524553571429

Epoch 21/20000: Training Loss: 1.6181060791015625		 Val Loss: 5.19056647164481
             	Training MAE: 0.26050737500190735		 Val MAE: 0.2621394693851471
             	Algebraic dist: 45.8226806640625		 Val Algebraic dist: 73.15857805524554
             	RE1 dist: 2224.33515625		 Val RE1 dist: 5655.8125
             	SED dist: 2.81472110748291		 Val SED dist: 9.964229038783483

Epoch 22/20000: Training Loss: 1.4743123054504395		 Val Loss: 4.978874206542969
             	Training MAE: 0.2540070414543152		 Val MAE: 0.25776389241218567
             	Algebraic dist: 43.693240356445315		 Val Algebraic dist: 74.02591378348214
             	RE1 dist: 2068.069140625		 Val RE1 dist: 4969.1328125
             	SED dist: 2.5433258056640624		 Val SED dist: 9.550758361816406

Epoch 23/20000: Training Loss: 1.431019401550293		 Val Loss: 4.407771519252232
             	Training MAE: 0.2474110722541809		 Val MAE: 0.2529882490634918
             	Algebraic dist: 41.78809814453125		 Val Algebraic dist: 70.88360159737724
             	RE1 dist: 1875.5921875		 Val RE1 dist: 4483.637834821428
             	SED dist: 2.4700931549072265		 Val SED dist: 8.420333317347936

Epoch 24/20000: Training Loss: 1.3817136764526368		 Val Loss: 5.426270621163504
             	Training MAE: 0.24185577034950256		 Val MAE: 0.24277177453041077
             	Algebraic dist: 40.465325927734376		 Val Algebraic dist: 71.92743791852679
             	RE1 dist: 1699.556640625		 Val RE1 dist: 5689.794642857143
             	SED dist: 2.3844015121459963		 Val SED dist: 10.478293282645089

Epoch 25/20000: Training Loss: 1.4469581604003907		 Val Loss: 5.716435023716518
             	Training MAE: 0.23562701046466827		 Val MAE: 0.2375693917274475
             	Algebraic dist: 42.93306274414063		 Val Algebraic dist: 73.13167027064732
             	RE1 dist: 1891.0896484375		 Val RE1 dist: 5927.092075892857
             	SED dist: 2.5288061141967773		 Val SED dist: 11.069761003766741

Epoch 26/20000: Training Loss: 1.4259968757629395		 Val Loss: 5.109945024762835
             	Training MAE: 0.2313246876001358		 Val MAE: 0.23389838635921478
             	Algebraic dist: 42.36850280761719		 Val Algebraic dist: 71.34566388811383
             	RE1 dist: 1835.20625		 Val RE1 dist: 5329.09765625
             	SED dist: 2.495248222351074		 Val SED dist: 9.864752633231026

Epoch 27/20000: Training Loss: 1.4134716987609863		 Val Loss: 4.870176587785993
             	Training MAE: 0.22634238004684448		 Val MAE: 0.23093080520629883
             	Algebraic dist: 41.48684997558594		 Val Algebraic dist: 67.75351388113839
             	RE1 dist: 1754.2115234375		 Val RE1 dist: 5005.029575892857
             	SED dist: 2.4807153701782227		 Val SED dist: 9.390313284737724

Epoch 28/20000: Training Loss: 1.3984367370605468		 Val Loss: 4.800471714564732
             	Training MAE: 0.2224540412425995		 Val MAE: 0.22865760326385498
             	Algebraic dist: 41.818487548828124		 Val Algebraic dist: 72.59055437360492
             	RE1 dist: 1830.5810546875		 Val RE1 dist: 5132.978236607143
             	SED dist: 2.4583059310913087		 Val SED dist: 9.256841387067523

Epoch 29/20000: Training Loss: 1.348454761505127		 Val Loss: 5.004906790597098
             	Training MAE: 0.21976585686206818		 Val MAE: 0.22403772175312042
             	Algebraic dist: 41.454888916015626		 Val Algebraic dist: 76.24091448102679
             	RE1 dist: 1820.659765625		 Val RE1 dist: 5235.280133928572
             	SED dist: 2.364449119567871		 Val SED dist: 9.675163269042969

Epoch 30/20000: Training Loss: 1.4213608741760253		 Val Loss: 5.094473702566964
             	Training MAE: 0.21644063293933868		 Val MAE: 0.22011418640613556
             	Algebraic dist: 43.10352478027344		 Val Algebraic dist: 75.11470249720982
             	RE1 dist: 1923.7771484375		 Val RE1 dist: 5000.143415178572
             	SED dist: 2.5172403335571287		 Val SED dist: 9.861116681780134

Epoch 31/20000: Training Loss: 1.3831841468811035		 Val Loss: 4.300225394112723
             	Training MAE: 0.2144857943058014		 Val MAE: 0.2179333120584488
             	Algebraic dist: 40.740133666992186		 Val Algebraic dist: 69.87922886439732
             	RE1 dist: 1719.3466796875		 Val RE1 dist: 4437.109095982143
             	SED dist: 2.4471839904785155		 Val SED dist: 8.27652359008789

Epoch 32/20000: Training Loss: 1.310345458984375		 Val Loss: 4.7085980006626675
             	Training MAE: 0.2126975655555725		 Val MAE: 0.214975506067276
             	Algebraic dist: 39.77938537597656		 Val Algebraic dist: 66.52258736746651
             	RE1 dist: 1664.866796875		 Val RE1 dist: 4591.499441964285
             	SED dist: 2.308502960205078		 Val SED dist: 9.101315089634486

Epoch 33/20000: Training Loss: 1.2693041801452636		 Val Loss: 4.916221618652344
             	Training MAE: 0.21191860735416412		 Val MAE: 0.21467608213424683
             	Algebraic dist: 38.110226440429685		 Val Algebraic dist: 68.02526419503349
             	RE1 dist: 1565.1080078125		 Val RE1 dist: 4807.268973214285
             	SED dist: 2.230942153930664		 Val SED dist: 9.520223345075335

Epoch 34/20000: Training Loss: 1.3658700942993165		 Val Loss: 4.782539367675781
             	Training MAE: 0.21130049228668213		 Val MAE: 0.213642418384552
             	Algebraic dist: 40.69131164550781		 Val Algebraic dist: 69.25077165876117
             	RE1 dist: 1748.9841796875		 Val RE1 dist: 4712.154575892857
             	SED dist: 2.4293073654174804		 Val SED dist: 9.260586329868861

Epoch 35/20000: Training Loss: 1.3236973762512207		 Val Loss: 4.684262956891741
             	Training MAE: 0.2100103795528412		 Val MAE: 0.21248987317085266
             	Algebraic dist: 39.74405517578125		 Val Algebraic dist: 65.41876656668526
             	RE1 dist: 1677.865234375		 Val RE1 dist: 4661.896205357143
             	SED dist: 2.3510740280151365		 Val SED dist: 9.068062918526786

Epoch 36/20000: Training Loss: 1.351415252685547		 Val Loss: 4.719729832240513
             	Training MAE: 0.20894496142864227		 Val MAE: 0.21212095022201538
             	Algebraic dist: 40.67131042480469		 Val Algebraic dist: 67.38110787527901
             	RE1 dist: 1685.540234375		 Val RE1 dist: 4312.229352678572
             	SED dist: 2.412221145629883		 Val SED dist: 9.142322540283203

Epoch 37/20000: Training Loss: 1.27748384475708		 Val Loss: 4.738343920026507
             	Training MAE: 0.20870710909366608		 Val MAE: 0.21164342761039734
             	Algebraic dist: 38.73695068359375		 Val Algebraic dist: 69.25038364955357
             	RE1 dist: 1553.8017578125		 Val RE1 dist: 4671.498325892857
             	SED dist: 2.2664031982421875		 Val SED dist: 9.183178492954799

Epoch 38/20000: Training Loss: 1.3271865844726562		 Val Loss: 5.0350221906389505
             	Training MAE: 0.20778082311153412		 Val MAE: 0.21037018299102783
             	Algebraic dist: 39.69874572753906		 Val Algebraic dist: 71.86260986328125
             	RE1 dist: 1620.07802734375		 Val RE1 dist: 4893.905133928572
             	SED dist: 2.3707565307617187		 Val SED dist: 9.781335013253349

Epoch 39/20000: Training Loss: 1.3600605010986329		 Val Loss: 4.783675602504185
             	Training MAE: 0.20692723989486694		 Val MAE: 0.2097192108631134
             	Algebraic dist: 39.440432739257815		 Val Algebraic dist: 64.94845145089286
             	RE1 dist: 1603.8400390625		 Val RE1 dist: 4394.454799107143
             	SED dist: 2.4385181427001954		 Val SED dist: 9.279905046735491

Epoch 40/20000: Training Loss: 1.3378554344177247		 Val Loss: 4.973081861223493
             	Training MAE: 0.2066010981798172		 Val MAE: 0.20968127250671387
             	Algebraic dist: 39.2919921875		 Val Algebraic dist: 68.37207467215401
             	RE1 dist: 1624.55849609375		 Val RE1 dist: 4737.440848214285
             	SED dist: 2.3953903198242186		 Val SED dist: 9.660071236746651

Epoch 41/20000: Training Loss: 1.2527405738830566		 Val Loss: 5.191417694091797
             	Training MAE: 0.20648618042469025		 Val MAE: 0.20893187820911407
             	Algebraic dist: 38.57942504882813		 Val Algebraic dist: 69.5679931640625
             	RE1 dist: 1520.9337890625		 Val RE1 dist: 5220.008928571428
             	SED dist: 2.227603721618652		 Val SED dist: 10.100039890834264

Epoch 42/20000: Training Loss: 1.3025436401367188		 Val Loss: 4.476968765258789
             	Training MAE: 0.20586450397968292		 Val MAE: 0.2089882642030716
             	Algebraic dist: 38.78095397949219		 Val Algebraic dist: 64.38749040876117
             	RE1 dist: 1575.78447265625		 Val RE1 dist: 4174.524274553572
             	SED dist: 2.329840660095215		 Val SED dist: 8.67164066859654

Epoch 43/20000: Training Loss: 1.2853572845458985		 Val Loss: 5.070525033133371
             	Training MAE: 0.20559264719486237		 Val MAE: 0.20735812187194824
             	Algebraic dist: 38.3613037109375		 Val Algebraic dist: 70.72107805524554
             	RE1 dist: 1531.96943359375		 Val RE1 dist: 5087.551339285715
             	SED dist: 2.2971370697021483		 Val SED dist: 9.864900861467634

Epoch 44/20000: Training Loss: 1.2639253616333008		 Val Loss: 4.7551084245954245
             	Training MAE: 0.20471204817295074		 Val MAE: 0.20726118981838226
             	Algebraic dist: 37.78290710449219		 Val Algebraic dist: 67.88014439174107
             	RE1 dist: 1595.51689453125		 Val RE1 dist: 4836.422991071428
             	SED dist: 2.257114601135254		 Val SED dist: 9.234306335449219

Epoch 45/20000: Training Loss: 1.1895686149597169		 Val Loss: 4.984626225062779
             	Training MAE: 0.20411275327205658		 Val MAE: 0.2069166898727417
             	Algebraic dist: 36.03347473144531		 Val Algebraic dist: 66.10144914899554
             	RE1 dist: 1435.20673828125		 Val RE1 dist: 4360.745535714285
             	SED dist: 2.1100179672241213		 Val SED dist: 9.694532121930804

Epoch 46/20000: Training Loss: 1.2141894340515136		 Val Loss: 4.918618338448661
             	Training MAE: 0.20370572805404663		 Val MAE: 0.20643489062786102
             	Algebraic dist: 35.677923583984374		 Val Algebraic dist: 68.95665631975446
             	RE1 dist: 1372.7884765625		 Val RE1 dist: 4610.369977678572
             	SED dist: 2.1606298446655274		 Val SED dist: 9.564821515764509

Epoch 47/20000: Training Loss: 1.363008689880371		 Val Loss: 5.073638916015625
             	Training MAE: 0.2032228708267212		 Val MAE: 0.20658397674560547
             	Algebraic dist: 39.436572265625		 Val Algebraic dist: 71.2226082938058
             	RE1 dist: 1650.43515625		 Val RE1 dist: 4570.132254464285
             	SED dist: 2.4605247497558596		 Val SED dist: 9.874565124511719

Epoch 48/20000: Training Loss: 1.3183629989624024		 Val Loss: 4.805156162806919
             	Training MAE: 0.2032955288887024		 Val MAE: 0.20706932246685028
             	Algebraic dist: 37.8245849609375		 Val Algebraic dist: 72.52110508510044
             	RE1 dist: 1533.41103515625		 Val RE1 dist: 4356.592633928572
             	SED dist: 2.370199775695801		 Val SED dist: 9.336786542619977

Epoch 49/20000: Training Loss: 1.3022684097290038		 Val Loss: 4.697912488664899
             	Training MAE: 0.20323620736598969		 Val MAE: 0.20612557232379913
             	Algebraic dist: 37.25144653320312		 Val Algebraic dist: 62.91265869140625
             	RE1 dist: 1420.4111328125		 Val RE1 dist: 4183.992745535715
             	SED dist: 2.3387537002563477		 Val SED dist: 9.124011448451451

Epoch 50/20000: Training Loss: 1.2920974731445312		 Val Loss: 4.5284576416015625
             	Training MAE: 0.20217226445674896		 Val MAE: 0.20611540973186493
             	Algebraic dist: 37.25729675292969		 Val Algebraic dist: 71.21627371651786
             	RE1 dist: 1493.5623046875		 Val RE1 dist: 4287.420200892857
             	SED dist: 2.321952247619629		 Val SED dist: 8.787122453962054

Epoch 51/20000: Training Loss: 1.3177895545959473		 Val Loss: 5.1251019069126675
             	Training MAE: 0.20243874192237854		 Val MAE: 0.20507416129112244
             	Algebraic dist: 38.567239379882814		 Val Algebraic dist: 71.68460083007812
             	RE1 dist: 1509.7640625		 Val RE1 dist: 4900.054129464285
             	SED dist: 2.3734304428100588		 Val SED dist: 9.983163016183036

Epoch 52/20000: Training Loss: 1.2600033760070801		 Val Loss: 4.588217599051339
             	Training MAE: 0.20238934457302094		 Val MAE: 0.20526430010795593
             	Algebraic dist: 37.246157836914065		 Val Algebraic dist: 66.91754150390625
             	RE1 dist: 1511.90595703125		 Val RE1 dist: 4270.75390625
             	SED dist: 2.258897590637207		 Val SED dist: 8.908992767333984

Epoch 53/20000: Training Loss: 1.2620361328125		 Val Loss: 4.854086739676339
             	Training MAE: 0.20245526731014252		 Val MAE: 0.20519639551639557
             	Algebraic dist: 36.53240051269531		 Val Algebraic dist: 65.33860124860492
             	RE1 dist: 1428.872265625		 Val RE1 dist: 4375.510044642857
             	SED dist: 2.2624025344848633		 Val SED dist: 9.441286359514509

Epoch 54/20000: Training Loss: 1.2194446563720702		 Val Loss: 4.886199951171875
             	Training MAE: 0.20217536389827728		 Val MAE: 0.2045634537935257
             	Algebraic dist: 36.13691101074219		 Val Algebraic dist: 67.39655412946429
             	RE1 dist: 1369.69736328125		 Val RE1 dist: 4639.011160714285
             	SED dist: 2.178320121765137		 Val SED dist: 9.50759778703962

Epoch 55/20000: Training Loss: 1.2722922325134278		 Val Loss: 4.978150503976004
             	Training MAE: 0.20168277621269226		 Val MAE: 0.20403029024600983
